id,lower,upper,size
f0,3,8,120
w1,4,9,241
f2,7,13,144
w3,7,12,326
f4,10,14,318
w5,10,13,408
f6,14,19,452
w7,14,16,848
f8,16,19,320
w9,17,19,1155
f10,17,20,330
w11,17,20,696
f12,21,24,812
w13,21,26,644
f14,22,25,648
w15,22,25,1160
f16,26,32,459
w17,27,32,684
f18,28,32,780
w19,28,33,790
f20,31,35,869
w21,31,34,2541
f22,32,37,420
w23,33,36,2916
f24,33,38,975
w25,33,35,2132
f26,34,37,1330
w27,35,37,1694
f28,37,42,1800
w29,37,42,1050
f30,39,44,544
w31,39,44,1872
f32,42,45,544
w33,43,45,1122
f34,44,50,2286
w35,44,48,2898
f36,48,52,931
w37,49,51,2964
f38,50,55,740
w39,51,54,1380
f40,54,58,1722
w41,54,58,4620
f42,57,61,2442
w43,57,62,3806
f44,58,63,1794
w45,59,61,5106
f46,62,65,816
w47,62,64,2376
f48,66,72,2500
w49,67,71,6175
f50,69,73,1768
w51,70,74,3770
f52,70,73,1134
w53,70,73,6723
f54,74,77,3108
w55,74,78,5208
f56,75,80,3016
w57,75,78,5655
f58,78,81,3840
w59,78,81,3810
f60,80,85,3534
w61,81,85,6634
f62,82,88,3552
w63,83,87,7104
f64,85,88,2475
w65,86,90,3201
f66,88,92,3876
w67,88,92,4998
f68,89,95,2520
w69,89,92,6545
f70,93,99,1692
w71,94,96,7560
f72,96,101,3885
w73,97,101,2812
f74,100,103,1786
w75,101,105,5510
f76,104,108,4524
w77,104,107,5616
f78,106,109,3720
w79,106,109,10120
f80,108,112,3608
w81,108,112,9635
f82,110,116,1848
w83,111,115,4200
f84,114,119,3268
w85,114,119,10621
f86,115,120,4136
w87,116,121,7612
f88,116,122,2205
w89,116,121,10440
f90,118,122,5382
w91,119,123,3220
f92,122,128,5875
w93,122,126,10763
f94,124,127,1968
w95,124,126,12000
f96,127,132,1568
w97,127,131,7693
f98,130,135,3450
w99,131,135,7200
