id,lower,upper,size
b0,1,98,27
b1,37,76,18
b2,44,97,25
b3,41,76,13
b4,27,63,14
b5,19,40,12
b6,42,55,15
b7,32,100,17
b8,13,90,19
b9,11,98,24
b10,20,67,5
b11,41,43,9
b12,45,52,8
b13,17,86,12
b14,16,90,27
b15,43,47,6
b16,10,55,21
b17,35,75,4
b18,39,93,30
b19,0,73,7
b20,3,46,19
b21,5,65,12
b22,13,78,28
b23,32,80,9
b24,38,43,23
b25,3,57,25
b26,13,19,27
b27,0,82,10
b28,0,97,9
b29,36,83,12
b30,9,80,29
b31,22,34,17
b32,10,36,14
b33,22,85,29
b34,20,51,5
b35,10,36,10
b36,0,65,28
b37,12,48,8
b38,2,65,4
b39,26,43,24
b40,49,82,29
b41,17,45,19
b42,29,82,4
b43,2,13,28
b44,28,66,22
b45,49,58,8
b46,4,29,27
b47,21,59,19
b48,23,40,29
b49,12,41,17
b50,15,86,4
b51,38,58,11
b52,21,39,30
b53,2,5,20
b54,39,99,18
b55,18,90,21
b56,9,79,6
b57,35,87,7
b58,28,78,25
b59,29,33,28
b60,12,64,7
b61,2,71,6
b62,2,44,31
b63,15,47,26
b64,25,67,30
b65,10,74,23
b66,39,71,14
b67,28,43,32
b68,15,75,8
b69,10,92,26
b70,29,89,23
b71,19,37,4
b72,33,43,9
b73,29,89,22
b74,31,68,6
b75,39,42,19
b76,23,78,14
b77,49,93,11
b78,43,59,8
b79,8,12,15
b80,31,82,21
b81,31,56,28
b82,38,44,13
b83,34,97,6
b84,49,50,26
b85,15,81,20
b86,16,85,21
b87,13,49,11
b88,15,68,32
b89,20,77,11
b90,19,68,7
b91,25,88,24
b92,0,87,4
b93,5,79,7
b94,29,39,5
b95,20,47,5
b96,29,56,30
b97,16,87,20
b98,35,98,16
b99,48,79,23
