id,lower,upper,size
s0,37,44,108
s1,48,72,66
s2,62,86,107
s3,59,77,124
s4,68,95,97
s5,3,21,34
s6,27,86,121
s7,41,52,30
s8,53,97,49
s9,3,80,64
s10,16,47,97
s11,27,56,5
s12,51,63,39
s13,84,95,45
s14,23,70,121
s15,11,47,32
s16,40,51,100
s17,61,83,117
s18,10,85,74
s19,0,67,46
s20,78,84,74
s21,58,60,47
s22,76,78,19
s23,80,88,98
s24,80,93,42
s25,1,44,51
s26,85,89,94
s27,89,90,52
s28,70,83,16
s29,67,77,92
s30,59,67,80
s31,18,44,96
s32,76,83,126
s33,48,66,59
s34,19,41,31
s35,53,69,50
s36,26,73,55
s37,32,67,79
s38,73,86,60
s39,52,87,34
s40,55,100,61
s41,18,72,54
s42,67,78,102
s43,3,4,85
s44,80,84,115
s45,26,59,38
s46,84,95,80
s47,63,67,41
s48,2,81,23
s49,15,64,77
s50,50,81,19
s51,3,85,93
s52,31,35,67
s53,56,88,10
s54,77,95,35
s55,48,85,99
s56,36,70,28
s57,68,93,10
s58,62,71,86
s59,23,96,96
s60,63,71,71
s61,2,78,70
s62,31,45,73
s63,18,81,22
s64,45,62,76
s65,16,61,63
s66,63,78,28
s67,45,70,89
s68,9,59,6
s69,69,70,46
s70,83,90,20
s71,51,94,105
s72,11,36,9
s73,90,99,87
s74,72,98,12
s75,13,70,127
s76,29,53,87
s77,90,91,127
s78,25,63,106
s79,1,42,113
s80,67,82,40
s81,73,89,110
s82,63,87,53
s83,6,49,32
s84,81,92,27
s85,49,57,124
s86,86,91,89
s87,83,100,110
s88,30,72,24
s89,20,45,58
s90,7,61,14
s91,76,89,128
s92,12,41,91
s93,16,80,103
s94,87,98,50
s95,19,86,99
s96,52,84,55
s97,70,92,83
s98,90,100,113
s99,82,94,44
s100,44,57,50
s101,74,82,30
s102,74,96,70
s103,20,53,15
s104,38,55,102
s105,8,62,85
s106,82,86,96
s107,70,85,123
s108,84,98,121
s109,28,29,72
s110,48,60,20
s111,11,36,40
s112,6,29,116
s113,89,96,80
s114,22,89,10
s115,56,100,61
s116,62,69,58
s117,7,51,58
s118,53,55,100
s119,64,80,4
s120,51,88,18
s121,10,89,99
s122,82,85,65
s123,65,76,113
s124,53,61,95
s125,82,91,13
s126,84,91,32
s127,50,51,115
s128,20,86,93
s129,18,87,49
s130,20,99,12
s131,61,72,84
s132,22,50,109
s133,81,85,59
s134,33,37,109
s135,50,81,63
s136,40,86,68
s137,42,96,19
s138,54,78,118
s139,25,90,62
s140,66,81,65
s141,10,98,45
s142,88,95,22
s143,61,100,89
s144,30,85,113
s145,80,87,122
s146,23,69,53
s147,69,78,80
s148,73,88,91
s149,19,67,115
s150,7,88,48
s151,69,88,5
s152,83,98,85
s153,14,99,126
s154,47,82,32
s155,13,35,95
s156,13,78,11
s157,66,97,68
s158,56,60,97
s159,30,92,55
s160,36,42,21
s161,45,66,127
s162,59,95,43
s163,47,85,66
s164,32,89,65
s165,10,72,23
s166,13,65,79
s167,14,83,26
s168,48,79,5
s169,38,77,112
s170,43,77,44
s171,55,84,108
s172,69,80,20
s173,37,48,114
s174,68,86,79
